"ID","Religião","Entidade / Orixá","Nome do Ponto","Letra","Link YouTube","Áudio","Observações"
"PNT-7DD28B","Umbanda","Geral / Abertura","Prece de Cáritas","Deus Nosso Pai, vós que sois todo poder e bondade.
Dai força àquele que passa pela provação.
Dai luz àquele que procura a verdade.
Pondo no coração do homem a compaixão e caridade.
Que Assim Seja!","","",""
"PNT-790F97","Umbanda","Geral / Abertura","Pai Nosso Umbandista","Pai nosso que estais nos céus, nos mares, nas matas e em todo o mundo habitado.
Santificado seja o vosso nome, pelos teus filhos, pela natureza, pelas águas, pela luz e pelo ar que respiramos.
Que Assim Seja!","","",""
"PNT-153CBB","Umbanda","Geral / Abertura","Credo Umbandista","Creio em Deus, Onipotente e Supremo, no Seu poder, na Sua luz e no Seu perdão.
Creio nos Orixás amparando as nossas vidas.
Na comunicação dos Guias, encaminhando-nos para a caridade e a prática do bem.
Creio na Umbanda como missão e caminho para seguir a evolução.
Que Assim Seja!","","",""
"PNT-E8E0C7","Umbanda","Geral / Abertura","Hino da Umbanda","Refletiu a luz Divina.
Em todo seu esplendor.
Vem do Reino de Oxalá.
Aonde há paz e amor.
Luz que refletiu na Terra.
Luz que refletiu no mar.
Luz que vem de Aruanda.
Para tudo iluminar.
A Umbanda é paz e amor.
É um mundo cheio de luz.
É a força que nos dá vida.
E a grandeza nos conduz.
Avante filhos de fé.
Como a nossa lei não há.
Levando ao mundo inteiro.
A bandeira de Oxalá.","","",""
"PNT-0FBF7B","Umbanda","Geral / Abertura","Defumação","Defuma com as ervas da Jurema,
Defuma com arruda e guiné, BIS.
Alecrim, benjoim e alfazema,
Vamos defumar filhos de fé.
Corre e gira Pai Ogum,
Filho quer se defumar, BIS.
A Umbanda tem fundamento é preciso preparar,
Com incenso e benjoim, alecrim e alfazema,
Defumar filhos de fé, com as ervas da Jurema.
Nossa Senhora incensou a Jesus Cristo,
Jesus Cristo incensou os filhos seus,
Eu incenso, eu incenso essa casa, BIS.","","",""
"PNT-6919D8","Umbanda","Geral / Abertura","Abertura de Gira","Abrimos a nossa gira, pedindo a proteção,
Ao nosso pai Oxalá, para cumprir nossa missão.
Eu abro a nossa gira com Deus e Nossa Senhora.
Eu abro a nossa gira samboreô, pemba de Angola.
Esta aberta nossa gira com Deus e Nossa Senhora.","","",""
"PNT-505B24","Umbanda","Geral / Abertura","Encerramento de Gira","Fechamos a nossa gira, pedindo a proteção,
Ao nosso Pai Oxalá, para cumprir nossa missão.
Eu fecho a nossa gira com Deus e Nossa Senhora.
Eu fecho a nossa gira samboreô, pemba de Angola.
Esta fechada nossa gira com Deus e Nossa Senhora.","","",""
"PNT-656E70","Umbanda","Exus e Pombagiras","Saudação ao Exú Tranca Ruas","O sino da igrejinha faz belém blém blom.
Deu meia noite o galo já cantou,
Seu Tranca Ruas que o dono da gira, BIS.
Oi corre gira que Ogum mandou.
Exú, Exú Tranca Ruas, BIS.
Me abre o terreiro, oi me fecha a rua.","","",""
"PNT-BDB237","Umbanda","Oxalá","Meu pai Oxalá é o rei","Meu pai Oxalá é o rei venha me valer.
Meu pai Oxalá é o rei venha me valer.
Ó Deus nos salve essa casa Santa,
Onde Deus fez a sua morada,
Onde mora o cálice bento, BIS.
E a hóstia consagrada.","","",""
"PNT-6BDE80","Umbanda","Ogum","Ogum em seu cavalo","Ogum em seu cavalo corre e sua espada reluz.
Ogum, Ogum Megê sua bandeira cobre os filhos de Jesus Ogum nhê.
E quem está de ronda é São Jorge deixa São Jorge rondar.
São Jorge é guerreiro que manda na terra, que manda no mar.
Saravá meu Pai, saravá meu Pai.","","",""
"PNT-0C2D2A","Umbanda","Oxum","Foi na beira do rio","Foi na beira do rio, aonde Oxum chorou.
Chora iê iê ô, choram os filhos seus.
Atraca, atraca que aí vem Nanã eh ah.
É Nanã, é Oxum, é quem vem saravá eh ah.","","",""
"PNT-61878F","Umbanda","Xangô","Xangô — Ele vem de Aruanda","Ele vem de Aruanda, ele vem trabalhar, BIS.
Ele vence demanda, ele é seu arirá.
Kaô, kaô, kaô, kaô a justiça chegou Xangô.
Kaô kabiesilê é de mussusú ai como ele vem.","","",""
"PNT-824BFD","Umbanda","Iansã","Iansã tem um leque","Iansã tem um leque que venta, pra abanar dia de calor.
Iansã mora na pedreira, eu quero ver meu pai Xangô.
Oiá é moça rica, ela é filha de Xangô.
Iansã chegou na Umbanda, em seu reino saravou.","","",""
